	Text	Contains_hate
10	مبقاش فارقه معاياه ترجع حياتنا الطبيعية امتى قد ان ربنا ميوجعش قلبي على حد من حبايبنا فاللهم بلغنا نهاية أزمة الكورونا لا فاقدين ولا مفقودين يارب	Not Hatefull
11	حقيقه مالي أرى الّناس في رُعبٍ يؤرقهم   من الكورونا كأن الموت قد وصلَ  يا خائفاً من لقاء الموتِ مرتعداً هل يمنع الخوف أمرَ الله  إن نزلَ؟  َالموتُ كأساًُ وحتماً سوفَ نشربهُ  لا شك إنّا سنرحلُ مثل من رحلَ  فلا تموتوا بداءِ الخوفِ وابتسموا لا ينتهي الـــعمرُ حتى نَبلُـغ الأجلَ	Not Hatefull
12	🔴 ارتفاع عدد الوفيات بكورونا في الجزائر إلى  375 حالة والإصابات 2629  حالة  ▪️تسجيل 95 حالة إصابة جديدة بكورونا في الجزائر  ▪️تسجيل 8 وفيات جديدة بفيروس كورونا في الجزائر  ▪️ 1047 مريض تماثلوا للشفاء               #كورونا #كوفيد19 #فيروس_كورونا  https://t.co/K8VeOFCHsq	Not Hatefull
13	نسألكم الدعاء،، ولد عمنا *فؤاد عيسى البلوشي*         بومحمد  لتأكدت بإصابتة بڤايرس كورونا   نسأل الله له العفو والعافية وتمام العافية ودوام العافية بإذن الله تعالىٰ  https://t.co/YY3g9vKbpw	Not Hatefull
14	مواليد ال 90:  10 سنين إرهاب، 20 سنة بوتفليقة، عام حراك، و الباقي كورونا .. معليش مكتوب ربي   #فيروس_كورونا	Not Hatefull
15	الحمدالله على كل حال  تم تأكيد إصابتي بفايروس كورونا   نسأل الله الشفاء التام لي ولجميع المصابين  لا تنسوني من دعواتكم ❤️ .  https://t.co/uIRGaDYZyX	Not Hatefull
16	"""من أين أنتم؟"" والإجابات 🤣 صدمة الرئيس الفرنسي Emmanuel Macron مع البروفسور #DidierRaoult حين سمع جنسيات الباحثين في المعهد الاستشفائي الجامعي""إي أش أو ميديتيرانيه""في مدينة مرسيليا أمس الخميس هؤلاء الباحثيين كلهم شباب هم يعملون على اكتشاف لقاح #فيروس_كورونا #ALGER #COVIDー19"	Not Hatefull
17	@khalidmoh00 @banderalrezohan االلهم رب الناس أذهب الباس عن الأستاذ بندر الرزيحان من إصابته (بفايروس-كورونا) اللهم عجل بشفاءه أنت الشافي لا شفاء الاّ شفاءك  شفاء لا يغادر سقما نسأل الله أن يمن عليه بالشفاء العاجل ليرجع لأسرته ومحبيه سالماً معًافا من سؤ الإسقام.	Not Hatefull
18	متى يجب عليك غسل اليدين؟  #الوقاية_من_كورونا  https://t.co/bI7oivLUb5	Not Hatefull
19	🛑ياارب فرج هم من فرج عني   يعلم الله انو من 4 سنين تراكمت علينا الديون سددنا وباقي نسد للان  حملي تقييييل ساعدوني بتخفيفه واكسبو اجر تفريج كربتي   التبرع رسمي لوزاره العدل  1944208137  السداد لايقبل اقل من 50 #فرجت_مع_أبشر  اليوم الوطني عروض كورونا  https://t.co/0YoBiDv17a	Not Hatefull
20	علاج فيروس كورونا  امريكا   قلنالكم من ثلاثة ايام لا تطولونها يا جماعه  التقارير تقول علاج الملاريا المضاد فيروسي هو العلاج   هيئة الدواء و الغذاء تسمح باستخدام علاج الملاريا كلوروكين لعلاج المرضي المصابين COVID 19 بالمستشفيات   الكويت الامارات البحرين السعودية	Not Hatefull
21	تضارب حول فاعلية عقار رمديسيفير في علاج كورونا، وللتفاصيل  https://t.co/yq7gM1VXZl	Not Hatefull
22	الجزائر ترجح اقتناء لقاح كورونا من عدة مخابر وفقا لمقاييسها  https://t.co/ZHufXaf9f0  نيوز سناب - روسيا اليوم	Not Hatefull
23	#الصحة_العالمية  سلامتنا سعادتنا وغايتنا الامان لكم لأنكم أنتم أغلى ما نملك نسأل الله الأمن والسلامة   سجل وانشر عروضك مجانا بدون عمولة  سلامتنا  https://t.co/RTTMA31gCp اللاما قد تحمل مفتاح خلاص البشرية من فيروس كورونا  https://t.co/s2D3woOdwd  https://t.co/BTLa2F5n9r	Not Hatefull
24	رسمياً.. #الرئاسة_الجزائرية تؤكد إصابة الرئيس #تبون بفيروس #كورونا   https://t.co/zMYmL2M0py	Not Hatefull
25	باسمي واسم و جماهير نادي #الاتحاد الرياضي يتقدمون بتعازيهم الحارة لإسرة نجم و اسطورة الكرة العراقية و العربية #احمد_راضي و الذي وافته المنية متأثراً بڤايروس كورونا   نسأل الله له الرحمة و الصبر و السلوان لعائلة المرحوم وللشعب العراقي الشقيق عامةً  إنا لله وإنا اليه راجعون  https://t.co/VaKi81D4G8	Not Hatefull
26	علاج فيروس الكورونا: إمضغ سنين من الثوم هذا لا يساعدك في شيء لكن سيبعد عنك الناس مسافة كافية. 🙋‍♂  #الاردن	Not Hatefull
27	نصائح مهمة لتجنّب فيروس #كورونا  ابتعد عن الأشخاص المصابين ب #البرد او احد اعراضه غسل اليدين بشكل متكرر ارتداء #الأقنعة ارتداء #القفازات  تجنب استخدام الادوات الشخصية للغير	Not Hatefull
28	مدينة #نجران تسجل 53 حالة أصابة جديدة بفايروس #كورونا ومحافظة #شرورة 5 حالات وبدر الجنوب 3 حالات  فيما سجلت محافظتي #حبونا و #يدمة حاله واحدة في كلاً منهما اليوم الأحد 22شوال 1441هـ الذي سجل فيه 4233 حالة أصابه جديده بالفايروس على مستوى المملكة🇸🇦    #ملتقى_قبائل_يام_الرسمي	Not Hatefull
29	Good news , #AstraZeneca annaounced that its #Oxford vaccine  is 90% effective! استرازينكا تعلن ان لقاحها (لقاح أكسفورد ) ضد فيروس #كورونا فعال بنسبة ٩٠٪ وهو الارخص والاسهل في النقل مقارنة بموديرنا وفايزر.  https://t.co/bBjALGWVM7	Not Hatefull
30	بريطانيا تسجل أول حالة لإصابة قط منزلي بفيروس كورونا   أعلنت الحكومة البريطانية تسجيل أول حالة لإصابة حيوان بفيروس كورونا المستجد تم رصد المرض لدى قطة منزلية في مدينة ويبريج الإنجليزية.  https://t.co/Aebt6AnDTr	Not Hatefull
31	#عاجل الرئيس الجزائري عبد المجيد تبون مصاب بكورونا #عبد_المجيد_تبون #الجزائر #كورونا   https://t.co/OfDqRAf7Dr  https://t.co/3zZ8iojB3L	Not Hatefull
32	نعتذر من الشعب اللبناني ما جبنا الفيروس من فرنسا كرمال  etiquette 🤗والبريستج تبعكن #سنموت_بعد_قليل #كورونا #لا_داعي_للهلع	Not Hatefull
33	وتشدد منظمة الصحة العالمية في نصائحها لتفادي الإصابة بفيروس كورونا على غسل اليدين بالصابون والماء أو فرك اليدين بمطهر كحولي، وتجنب لمس العينيين والأنف والفم  https://t.co/QXlnjdNY15	Not Hatefull
34	راني نستنى يتبرع هذا الوطني ب60 مليار للمصابين بوباء الكورونا في الجزائر كيما تبرع للكنيسة تاع فرنسا واحد العام .  https://t.co/PZoju2kMhx	Not Hatefull
35	🔺وزير الصحة جعفر علاوي:  🔺لا يوجد لدينا علاج لفايروس كورونا ونعالج المصابين بحبوب تجريبية اثبتت نجاحها.   🔺في حال انتشر الفايروس كبقية الدول لا توجد لدينا اي امكانية لمواجهته.	Not Hatefull
36	اذا حسيتو باعراض لاتهملون ولاتسمع اللي يقول لك لاتوسوس بالعكس اعزل نفسك على طول عشان اهلك اذا استمر معك افحص انا قالو لي 937 جيوب مافيك حراره يعني مافيك اعراض كورونا ماسمعت لهم وعزلت نفسي لما حللت طلعت ايجابيه وش كان بيصير لو اخذت بكلامهم وخالطت امي وابوي*كورونا فحصه مو استشاره*	Not Hatefull
37	خاصنا بحال هادو 👇 @Elotmanisaad  #بقا_فدارك_باش_تحمي_بلادك  #كورونا_المغرب  https://t.co/gdoZZZGozt	Not Hatefull
38	نصائح جديدة من الصحة العالمية لتجنب العدوى بفيروس كورونا  أولا: اتباع النظافة العادية لليدين وغسلها بالماء والصابون باستمرار.    ثانيا: تغطية الفم والأنف عند السعال والعطاس.  ثالثا: تجنب الاتصال الوثيق مع أي شخص يظهر عليه أعراض مرض الجهاز التنفسي مثل السعال والعطس #كرونا_الكويت	Not Hatefull
39	132سنة فرنسا 10سنين ارهاب 20سنة بوتفليقة  عام حراك والباقي كورونا😢	Not Hatefull
40	#٦_حالات_كورونا_تداهم_النصر  😂 🤣 🤣 🤣 الهاشتاق برعاية الطواقي... وفتحووا  لأنفسهم بااب  للطقطقه هههههههه هههههههه هههههههه  https://t.co/ffrO2edqYn	Not Hatefull
41	بعد أن استُخدم لعلاج ترامب.. الولايات المتحدة تسمح باستخدام علاج ريجينيرون ضد #كوفيد_19  #جريدة_الوطن_القطرية  #سلامتك_هي_سلامتي  #الدوحة #واشنطن    https://t.co/kOfDRCWt7m	Not Hatefull
42	@alihameededu السلام عليكم  نحن طلاب السادس نناشدك بأسم الانسانيه با حتساب المعدل التراكمي كدرجه نهائيه للنجاح حيث لا يمكننا ان نمتحن في ضل تزايد الاصابات الى الالاف  كورونا #تقتلنا  !!!!!!	Not Hatefull
43	للوقاية من فيروس كورونا الجديد، يجب عليك غسل اليدين بالماء والصابون بإنتظام، وتغطية الفم والأنف عند العسال والعطس، وتجنب الاتصال المباشر مع أي شخص تظهر عليه أعراض أمراض الجهاز التنفسي  وعشان سلامتك #خليك_بالبيت  https://t.co/oRh2oWrXdc	Not Hatefull
44	سيزول فايروس كورونا و سيأتي شهر رمضان الكريم لا فاقدين ولا مفقودين باْذن لله.  يا رب 🙏🌹❤️💙  #كورونا_الجديد #السعودية #COVID2019	Not Hatefull
45	نحن طلاب السادس نناشد اصحاب الضمير نناشد الأنسانيه التي انعدمت عند الكثير من المسؤؤلين نطالبكم بحمايه اولادكم من وباء كورونا  ودفع الوباء عنه بتأجيل الأمتحانات لغايه ايجاد حل فعلي يحمي الطلاب وتهيئه اوضاع القاعات #التاجيل_فرصتنا_يلكاظمي الى متى الصمت	Not Hatefull
46	@essam_eyda @maymona88 هههههه منضغط 🤣🤣.. كورونا عامل عمايل فيهم	Not Hatefull
47	أنا اسمي عين تموشنت الطفل رقم 46لأمي الجزائر أصيب بعض اخوتي بمرض خطير لكن اختي الصغرى البليدة 09 هي الأكثر ضررا ، و هي تعاني ، انا و امي و اخوتي 48 نصلي و ندعي لها بالشفاء العاجل فهي جزء لا يتجزأ منا و غالية على قلوبنا ، لطفك يا رب اللهم ارفع هذا الوباء علينا دعواتكم [#كلنابليدة]  https://t.co/GUfnmnNm5K	Not Hatefull
48	"تاكيدا لكلامى /قررت السلطات بمطار القاهرة الدولي، الأربعاء، إلغاء الحجر الصحي للمصرين العائدين من الخارج على الرحالات الاستثنائية التي تنظمها وزارة الطيران المدني والاكتفاء بتوقيع الركاب على الالتزام بالعزل المنزلي لعدة أيام للتأكد من خلوهم من فيروس كورونا المستجد ""كوفيد-19"""	Not Hatefull
49	إنا لله وإنا إليه راجعون الله يرحمه ويغفر له ويلهم أهله وذويه الصبر والسلوان  #كورونا ليس بالخصم السهل وعلينا عدم الاستهانة به أبدا  #عمان_تواجه_كورونا	Not Hatefull
50	فعالية   شيل الحرفين الأولين من كورونا  وحط مكانهم اول حرفين من اسمك خلونا نشوف هههه أنا خدرونا 🙄  #PremiosMTVMiaw #MTVFANDOMBTSARMY @BTS_twt	Not Hatefull
51	احلي حاجه في موضوع الكورونا انه مش هيخلينا نشوف اشكال بنات وولاد زباله  في صلاه العيد 😂😂😂	Not Hatefull
52	لا بد أن يتم إخلاء مستشفيات محدد لحالات كورونا ويتم علاجها في هذه المستشفيات اما ان تلزموا كل المستشفيات بقبول حالات كورونا فهذا عمل همجي ويؤدي إلى إصابة المرض والعاملين والزوار والمرافقين . وايضا تحدد أماكن لعزل الحالات التي خالطة المصابين للمدة المقررة للعزل الصحي	Not Hatefull
53	جدل في الجزائر بشأن ''دواء بوناطيرو'' لعلاج كورونا! زعم مختص جزائري في علم الفلك والزلازل لوط بوناطيرو، أن فريقا علميا جزائريا-عراقيا توصل إلى عقار يشفي من وباء كورونا.	Not Hatefull
54	«تحصنت بذي العزة، واعتصمت برب الملكوت، وتوكلت على الحي الذي لا يموت، اللهم اصرف عنا الوباء، بلطفك يا لطيف، إنك على كل شيء قدير» #حاله_الطواري_يا_تبون	Not Hatefull
55	رغم كل الأخبار السيئة عن فايروس كورونا إلا أني وجدت خبر جيد لمنطقتنا..  حيث أن بعض العلماء يرجّحون أن الفايروس سيختفي مع حلول الصيف لأنه لا يستطيع العيش في الأجواء الحارة.  كما حدث مع فايروس SARS الذي اختفى مع دخول الصيف.  https://t.co/zyZMSQnv6d	Not Hatefull
56	- عاملين ايه ف بلدكم اللي مليانة كورونا دي ؟ = جوازات .. خطوبات .. ارتباطات .. كتشييييييييير اوي - ومش خايفين تتعدوا ؟ = هههه !!!! ما تسمعونا زغروطة. #فيروس_كورونا  https://t.co/TnIVbC1WiH	Not Hatefull
57	نصائح مهمه لتجنب فيروس كورونا 🤔🤫  https://t.co/YvUMtL6sev	Not Hatefull
58	- و إن فقدان الأخ وجع يقتص من عافية أخيه.💔  انتقل عمي إلى رحمة الله مساء الأمس متأثراً بإصابته بفايروس كورونا ، أسأل الله أن يتغمده بواسع رحمته و أن يلهم والدي الصبر و السلوان وأن يربط على قلبه .  https://t.co/pkjFvScbVk	Not Hatefull
59	اللّهم اغفر لي خطيئتي وجهلي وإسرافي في أمري وماأنت أعلم به منّي اللّهم اغفرلي جَدِّي وهزلي وخطئي وعمدي وكلّ ذلك عندي اللّهم اغفر لي ما قدّمت وما أخّرت وما أسررت وما أعلنت وما أنت أعلم به منّي، أنت المُقدّم وأنت المُؤخّر وأنت على كلّ شيء قدير.#كورونا #وزارة_التعليم #الصين	Not Hatefull
60	عقار #الكورتيزون من الأدوية التي تستخدم منذ سنوات للحد من الالتهابات ومتوفر بأسماء وأنواع مختلفة لا استبعد ان أطباء العناية المركزة قد استخدموا عقار الكورتيزون لمرضى #كورونا من قبل ظهور الدراسة الاخيرة من جامعة #اكسفورد البريطانية والتي تدعم نظرية أهمية الدواء لعلاج لمرضى كورونا  https://t.co/umytUaAbUu	Not Hatefull
61	والله لو مخلينا نداوم افضل والله مو قاعد نفهم من الحصص الاستاذ اوفر مستعجل مادري على شنو ما همه اذا فهمنا او لا اهم شي يخلص حصته مافي ضمير!!؟ ما نبي امتحانات لهذا الكورس لان مو فاهمين ولافي مدرسيين خصوصيين وفوق هذا كله كورونا!!! الكورس الجاي خلونا بالمدرسه  #مانبي_امتحانات_ورقيه	Not Hatefull
62	شركة روش تمزج عقارها مع رمديسيفير بتجارب علاج كورونا  https://t.co/jH0gvPdrWt	Not Hatefull
63	إصابة وزيرة الهجرة والمهجرين بفيروس كورونا  https://t.co/U8HjFNr0ep	Not Hatefull
64	#عـاجل  🔴الرئاسة الجزائرية تعلن إصابة تبون بفيروس كورونا	Not Hatefull
65	@weeii28 ⇓ ✷ 😂😂 ✷⇓  وحدة فتحت  جوال زوجها شافت رقم بأسم ( كورونا )  اتصلت عليه   😂☻💔طلع رقمها  هههههههههههه  زوجها الان بالعنايه المركزه 😷😂	Not Hatefull
66	#لسلامه_الجامعيين_عن_بعدوزير التعليم مازال يتجاهل طلاب الجامعات وكانه معطيهم لقاح كورونا ومتطمن عليهم !! اذا قعدت طلاب المدارس ترى طلاب الجامعات بيرجعون عليهم بكورونا الموجه الثانيه الي لكم اسبوعين تحذرون منها راح تصير  تدارك الوضع من الحين افضل	Not Hatefull
67	#الجزائر #COVIDー19  #فيروس_كورونا - تسجيل حالة وفاة جديدة بالفيروس. - عدد الوفيات يرتفع إلى 4 وفيات. - تسجيل 11 إصابة جديدة بالفيروس ليصير مجمل الاصابات 48 حالة.	Not Hatefull
68	"الجزائر تمدّد ""الحجر الجزئي"" في مواجهة الوباء  https://t.co/pnXv3Hy4iB #خارج_الحدود"	Not Hatefull
69	سبع تدابير لتجنب عدوى (كورونا) عند استلام  طلبات الطعام  #خلك_في_البيت  https://t.co/EiFCfOvoBR	Not Hatefull
70	#روسيا تعلن أن لقاحها لفيروس #كوفيد-19 فعال بنسبة 92%، بعد أيام من إعلان فايزر فعالية لقاحها بنسبة 90%    https://t.co/qq9kV1blTr	Not Hatefull
71	شهيد الوطن   كان متطوع في جمعيه صباح الاحمد اصيب في #فيروس_كورونا توفى اليوم ودفنه غداً الخميس   رحم الله ضاري السحلول العازمي واسكنه فسيح جناته والهم اهله الصبر والسلوان إنا لله وانا اليه راجعون	Not Hatefull
72	تعلن #وزارة_الصحة عن وفاة مقيم مصاب بمرض كورونا #كوفيد١٩ ويبلغ من العمر ٦٣ عاماً ليبلغ عدد الوفيات من هذا المرض #بالسلطنة ثلاثين (٣٠) وفاة. وتتقدم #وزارة_الصحة إلى ذوي الفقيد بخالص العزاء والمواساة سائلة الله سبحانه أن يلهم أهله  وذويه الصبر والسلوان  https://t.co/yYicxsfeEq	Not Hatefull
73	🔴🔴الشروع في استخدام دواء جديد لفيروس كورونا في الجزائر  https://t.co/RVVJwufZBl  https://t.co/IA1ixtBEsi	Not Hatefull
74	باتت الاحداث تتسارع بشكل رهيب و الرئيس🇩🇿 مزال متردد في اعلان حالة طوارئ الى متى.... ؟ #حالة_الطوارئ_يا_تبون #فيروس_كورونا #ريح_في_داركم	Not Hatefull
75	خايفة يجيبوا لقاح الكورونا وما يكفينا ، يقوموا يزيدوه ماي ..  حكومتنا ومنعرفها 😎	Not Hatefull
76	شركة تصنيع اللقاحات موديرنا تصنع لقاح وهمي بلاسيبو   فهل ينجح ويلحق بلقاح بفايزر  قد ينجح ويختلف بدرجة التخزين  وانتاج الأجسام المضادة عن لقاح بفايزر وستشتد المنافسة فالصينيون على مقربة من إطلاق لقاحهم علما أنهم يملكون عينة التحور الأولى لفايروس كورونا	Not Hatefull
77	ده مبقاش موسم كورونا ده بقي موسم زواج	Not Hatefull
78	نقل رئيس #الجزائر عبد المجيد تبون إلى ألمانيا لإجراء فحوص بعد أيام قليلة من دخوله الحجر الصحي الطوعي بعد ظهور أعراض #كورونا  على مسؤولين في رئاسة الجمهورية والحكومة.	Not Hatefull
79	لا اريد التعليق كثيرا على ما يقال على ان بوناطيرو وفريق جزائري _عراقي قد اكتشفوا علاجا ل #فيروس_كورونا ..لكن ما هو متداول انه اليوم ستظهر نتائج دواء بوناطيرو من معهد باستور..وسنرى وفي النهاية..يا ندخلو التاريخ......يانخرجو من الجغرافيا #حالة_الطوارئ_يا_تبون  #الجزائر  #COVIDー19  https://t.co/uhH6cbLer2	Not Hatefull
80	تخيل تجيلك كورونا قبل ما تتزوج تبقي مأساة، بعد إذن نهاية العالم يا شباب ملحقتش اتكاثر 😂😂😂😂 #كورونا  #covid19	Not Hatefull
81	للوقايه من عدم انتشار كورونا عليك اولا غسل اليدين بالماء والصابون وتكون عملية الغسل دقيقه تشمل راحة اليد الأصابع التركيز على الإبهام و الجزء الخارجي من اليد و الأظافر يجب تقليمها .الغسل يجب ان يكون بعد ملامسة الأسطح	Not Hatefull
82	@iraqmedianet           الى/وزارة التربية العراقية          م/المعدل التراكمي الاختياري نحن الالاف من طلاب السادس الاعدادي بأختيارنا وإرادتنا اخترنا المعدل التراكمي الاختياري نريد من الوزير ان يوافق على اختيارنا ومطلبنا لاننا مررنا بفترات عصيبه و قطع طرقات ومضاهرات وفايروس كورونا  https://t.co/Jf58c7iKA9	Not Hatefull
83	#بريد_الجزائر  #تدابير_الوقاية_من_تفشي_فيروس_كورونا تبعا لقرار تمديد إجراءات الحجر الصحي إلى غاية يوم 29 أفريل 2020، وتزامنها مع حلول شهر رمضان المعظم،مواقيت عمل مكاتب من السبت 25/04/2020 إلى غاية الأربعاء 29/04/2020   #رمضان #الحجر_الصحي #مواقيت_إستثنائية  https://t.co/oPzQSxFBRC	Not Hatefull
84	ارحمونا فان ارواحنا ليست رخيصه عند اهلنا انصفونا  فان الوباء لا يستثني احد🇮🇶✌🏿   #مطلبنا_التراكمي_والاختياري_الحل  #كورونا_تقتلنا_التاجيل_مطلبنا	Not Hatefull
85	#الممرض_خالد_الحسيني   انا لله وانا اليه راجعون   من أفضل من عرفت خلقا وعلما  نسأل الله أن يغفر له و يرحمه ويسكنه فسيح جناته ويلهم أهله الصبر والسلوان  ويجعل قبره روضة من رياض الجنة ويدخله الجنة بلا حساب ولا سابق عذاب #كورونا #مكة_المكرمة	Not Hatefull
86	عند الخروج من المنزل عليك اتباع سبل الوقاية الصحيحة: - اغسل يديك وعقمها باستمرار.  - ابتعد عن أماكن التجمعات.  - لا تقترب من أحد واجعل مسافة لا تقل عن مترين.  وتذكر دائمًا أن كبار السن، وأصحاب الأمراض المزمنة هم الأكثر عرضة للفيروس.. ساهم بحمايتهم. #كورونا #تعليم_ظهران_الجنوب	Not Hatefull
87	الحرس الوطني يستقبل عدد من المواطنين الذين تم إجلائهم من لبنان ومصر والبحرين حيث سيقضون فترة الحجر الصحي الإلزامي حتى التأكد من خلوهم من الإصابة بفيروس كورونا   #الكويت #الحظر_الكلي #كورونا  https://t.co/RA0Ipqsbug	Not Hatefull
88	مصير الجزائر والجزائريين معلق بمصير اخواننا واهلنا في البليدة🌹 #البليدة_لن_تذبل  #البليدة  #فيروس_كورونا_المستجدّ  #فيروس_كورنا  #الحجر_الصحي  #الجزائر #CONVID19  https://t.co/hOVk56JfKD	Not Hatefull
89	#كورونا نحن في ودائعك يا الله، اللهم أني أستودعك نفسي وأهلي و من أحب اللهم أصرف عنّا الوباء والبلاء وقنا شر الدّاء بلطفك ورحمتك أنك على كل شيء قدير، اللهُم إني أستودعك أغلى ما أنعمت به علينا اللهُم احفظ لنا عافيتنا بحفظك، احرسنا بعينك التي لا تنام يا الله	Not Hatefull
90	طيب انتظروا السنه طويله خلونا نخلص من كورونا !!	Not Hatefull
91	العيد يوم #الأحد عشان ما أحد يروح عند أحد ولا أحد يسلم على أحد ولا أحد يبوس أحد .. لأنَّ #الكورونا لا ترحم أحد.. #منقول #عيد_الفطر   #تقبل_الله_منَّا_ومنكم_الطاعات	Not Hatefull
92	شوارع هادئة، بيوت نظيفة، نساء في المنازل، رجال يساعدون،مأكولات شهية متنوعة، أطفال تحت الرعاية المنزلية،سيارات متوقفة، عوائل تجتمع سوية لأكثر من 12 ساعة،حوادث خفت، تلوث بيئي منخفض،طوابير منظمة،مستشفيات مستعدة،أعمال خيرية، تضامن، لا قهاوي وملاعب لا اختلاط، الكورونا جت تربينا👌🤣.	Not Hatefull
93	@SaudiNews50 قلت لجدتي #كورونا وصلت #اليمن . قالت أيش بيستفيدوا منها هي بتوصل ليد المسؤولين السرق وبيقسموها بينهم البين ولا بيحصلوا المواطنين  منها شي 🤣🤣😂😂🤣 قلت ياريت ربي يسمع منك ههههههههههه😂🤣	Not Hatefull
94	لبنان الغريق  لبنان الحريق  لبنان ينتفض  لبنان الدولار  لبنان الكمامة  لبنان كورونا  لبنان الجراد لبنان الفساد  لبنان المحسوبيات  لبنان في شي اكبر مني ومنك عم يصير  ولا داعي للهلع  #سنموت_بعد_قليل	Not Hatefull
95	اصابة أول أنثى نمر بفيروس كورونا -4 سنوات- بحديقة حيوان برونكس في نيويورك، اذ عانت من سعال جاف كما يبدو أنها نقلت العدوى لأربعة نمور وأسد تواجدوا معها بالحديقة نفسها!  #كورونا #حيوانات #حياتك #اهتماماتك #نيويورك #newyork #tiger  https://t.co/G55LSz2u0A	Not Hatefull
96	#احصائيات فيروس #كورونا المستجد: #مالي: تسجيل 10 وفيات وارتفاع عدد الإصابات المؤكدة إلى 123.  #بريطانيا: تسجيل 761 وفاة، ليرتفع عدد الوفيات إلى 12,868 شخصًا.  #الجزائر: تسجيل 10 وفيات، و 90 إصابة مؤكدة ليرتفع عدد الإصابات الإجمالي إلى 2160.	Not Hatefull
97	"دول ترصد ""كورونا"" في مزارع حيوان المنك  https://t.co/KqCzDq505O"	Not Hatefull
98	الدنمارك تعلن  القضاء على سلالة معدلة من فيروس #كورونا بعد إعدام جميع حيوانات المنك والبالغ عددها 17 مليون حيوان  https://t.co/AP95rSfkcm	Not Hatefull
99	خالص العزاء وصادق المواساة لعائلة الخليفة #المطيري بوفاة ابنهم العميد ركن المهندس نافع الخليفة المطيري بعد إصابته بفيروس #كورونا، ونسأل الله جلت قدرته ان يرحم الفقيد برحمته ويلهم ذويه الصبر والسلوان. @M6eer_Q8 #الدويش #البراك #الديحاني #الشلاحي #الركيبي #الكويت #كويتيين #الوفيات	Not Hatefull
100	وزارة الصحة بالمطار... معك كورونا... لأ.. حلوف... وحيات إمي... أوكي أهلا وسهلا فيك بلبنان 😂 😂 😂	Not Hatefull
